feature,importance
rolling_mean_56,23.507645241193522
rolling_mean_28,21.00036354278641
lag_1,9.862227429758567
rolling_mean_14,7.851626544134674
sell_price,5.992638017615201
dow_sin,4.047232374432236
rolling_std_56,3.1562560812092673
zero_sales_rate_28,3.0833882343156858
rolling_mean_7,2.209228826240235
day_of_week,2.1875363839799453
rolling_std_7,1.239688108602336
day_of_month,1.2337190039474306
rolling_std_28,1.2072735055081216
is_weekend,1.1166968874564576
rolling_max_7,1.078901317770668
price_vs_historical_mean,1.0406749935577218
lag_14,1.027248758173279
lag_28,0.9232449717775326
days_since_launch,0.883493173781087
demand_trend_7_28,0.8799783834774091
demand_cv_28,0.8551168731803256
lag_7,0.8103675438513469
has_event,0.6809790873091708
year_num,0.642072799040957
demand_ratio_7_28,0.62644934246912
lag_56,0.5571003785958529
rolling_std_14,0.5370122353256946
item_id_code,0.4275209203376032
week_of_year,0.3960061831576505
dow_cos,0.2601387492204286
month_sin,0.2452999493349971
rolling_max_28,0.17789191244592112
rolling_min_7,0.1286716003944655
month_cos,0.08056111767897704
quarter,0.04574952793969136
cat_id_code,0.0
store_id_code,0.0
state_id_code,0.0
dept_id_code,0.0
price_change,0.0
rolling_min_28,0.0
price_change_pct,0.0
is_month_start,0.0
is_month_end,0.0
month_num,0.0
snap,0.0
