date,sales
2011-01-29,358
2011-01-30,358
2011-01-31,301
2011-02-01,285
2011-02-02,173
2011-02-03,264
2011-02-04,241
2011-02-05,496
2011-02-06,286
2011-02-07,267
2011-02-08,297
2011-02-09,294
2011-02-10,293
2011-02-11,304
2011-02-12,399
2011-02-13,301
2011-02-14,245
2011-02-15,231
2011-02-16,183
2011-02-17,179
2011-02-18,223
2011-02-19,505
2011-02-20,362
2011-02-21,437
2011-02-22,305
2011-02-23,249
2011-02-24,273
2011-02-25,193
2011-02-26,389
2011-02-27,122
2011-02-28,105
2011-03-01,151
2011-03-02,148
2011-03-03,98
2011-03-04,109
2011-03-05,200
2011-03-06,579
2011-03-07,277
2011-03-08,285
2011-03-09,190
2011-03-10,163
2011-03-11,186
2011-03-12,447
2011-03-13,271
2011-03-14,231
2011-03-15,276
2011-03-16,238
2011-03-17,221
2011-03-18,216
2011-03-19,463
2011-03-20,318
2011-03-21,223
2011-03-22,367
2011-03-23,181
2011-03-24,376
2011-03-25,302
2011-03-26,393
2011-03-27,410
2011-03-28,374
2011-03-29,176
2011-03-30,244
2011-03-31,291
2011-04-01,265
2011-04-02,392
2011-04-03,450
2011-04-04,324
2011-04-05,211
2011-04-06,218
2011-04-07,292
2011-04-08,297
2011-04-09,369
2011-04-10,359
2011-04-11,332
2011-04-12,320
2011-04-13,182
2011-04-14,381
2011-04-15,174
2011-04-16,321
2011-04-17,299
2011-04-18,243
2011-04-19,127
2011-04-20,240
2011-04-21,259
2011-04-22,188
2011-04-23,404
2011-04-24,254
2011-04-25,367
2011-04-26,223
2011-04-27,231
2011-04-28,233
2011-04-29,206
2011-04-30,421
2011-05-01,311
2011-05-02,315
2011-05-03,212
2011-05-04,215
2011-05-05,318
2011-05-06,258
2011-05-07,360
2011-05-08,284
2011-05-09,269
2011-05-10,370
2011-05-11,302
2011-05-12,161
2011-05-13,218
2011-05-14,339
2011-05-15,294
2011-05-16,331
2011-05-17,181
2011-05-18,192
2011-05-19,167
2011-05-20,230
2011-05-21,314
2011-05-22,319
2011-05-23,267
2011-05-24,172
2011-05-25,306
2011-05-26,321
2011-05-27,266
2011-05-28,302
2011-05-29,284
2011-05-30,205
2011-05-31,148
2011-06-01,259
2011-06-02,332
2011-06-03,264
2011-06-04,246
2011-06-05,257
2011-06-06,228
2011-06-07,283
2011-06-08,471
2011-06-09,238
2011-06-10,321
2011-06-11,409
2011-06-12,213
2011-06-13,244
2011-06-14,286
2011-06-15,202
2011-06-16,255
2011-06-17,368
2011-06-18,532
2011-06-19,262
2011-06-20,196
2011-06-21,255
2011-06-22,260
2011-06-23,236
2011-06-24,287
2011-06-25,382
2011-06-26,277
2011-06-27,391
2011-06-28,202
2011-06-29,188
2011-06-30,270
2011-07-01,306
2011-07-02,361
2011-07-03,235
2011-07-04,173
2011-07-05,191
2011-07-06,392
2011-07-07,371
2011-07-08,248
2011-07-09,338
2011-07-10,299
2011-07-11,183
2011-07-12,201
2011-07-13,233
2011-07-14,256
2011-07-15,255
2011-07-16,352
2011-07-17,288
2011-07-18,246
2011-07-19,212
2011-07-20,225
2011-07-21,191
2011-07-22,274
2011-07-23,510
2011-07-24,406
2011-07-25,308
2011-07-26,175
2011-07-27,278
2011-07-28,281
2011-07-29,193
2011-07-30,221
2011-07-31,358
2011-08-01,225
2011-08-02,257
2011-08-03,302
2011-08-04,215
2011-08-05,420
2011-08-06,435
2011-08-07,247
2011-08-08,214
2011-08-09,213
2011-08-10,181
2011-08-11,272
2011-08-12,322
2011-08-13,375
2011-08-14,340
2011-08-15,255
2011-08-16,220
2011-08-17,209
2011-08-18,206
2011-08-19,321
2011-08-20,422
2011-08-21,274
2011-08-22,240
2011-08-23,174
2011-08-24,259
2011-08-25,223
2011-08-26,305
2011-08-27,381
2011-08-28,190
2011-08-29,192
2011-08-30,163
2011-08-31,300
2011-09-01,195
2011-09-02,327
2011-09-03,345
2011-09-04,153
2011-09-05,231
2011-09-06,329
2011-09-07,283
2011-09-08,256
2011-09-09,256
2011-09-10,341
2011-09-11,281
2011-09-12,220
2011-09-13,186
2011-09-14,289
2011-09-15,248
2011-09-16,185
2011-09-17,251
2011-09-18,257
2011-09-19,224
2011-09-20,212
2011-09-21,297
2011-09-22,252
2011-09-23,290
2011-09-24,302
2011-09-25,223
2011-09-26,235
2011-09-27,200
2011-09-28,317
2011-09-29,304
2011-09-30,367
2011-10-01,479
2011-10-02,325
2011-10-03,279
2011-10-04,322
2011-10-05,210
2011-10-06,195
2011-10-07,249
2011-10-08,384
2011-10-09,246
2011-10-10,220
2011-10-11,402
2011-10-12,186
2011-10-13,297
2011-10-14,274
2011-10-15,368
2011-10-16,329
2011-10-17,194
2011-10-18,221
2011-10-19,286
2011-10-20,241
2011-10-21,284
2011-10-22,326
2011-10-23,247
2011-10-24,186
2011-10-25,150
2011-10-26,189
2011-10-27,327
2011-10-28,252
2011-10-29,289
2011-10-30,272
2011-10-31,254
2011-11-01,262
2011-11-02,260
2011-11-03,223
2011-11-04,364
2011-11-05,327
2011-11-06,367
2011-11-07,198
2011-11-08,227
2011-11-09,196
2011-11-10,204
2011-11-11,240
2011-11-12,374
2011-11-13,231
2011-11-14,196
2011-11-15,243
2011-11-16,234
2011-11-17,162
2011-11-18,247
2011-11-19,406
2011-11-20,291
2011-11-21,205
2011-11-22,259
2011-11-23,163
2011-11-24,47
2011-11-25,230
2011-11-26,226
2011-11-27,214
2011-11-28,217
2011-11-29,334
2011-11-30,197
2011-12-01,258
2011-12-02,336
2011-12-03,395
2011-12-04,327
2011-12-05,209
2011-12-06,223
2011-12-07,268
2011-12-08,279
