feature,importance
rolling_mean_56,355
lag_1,326
rolling_mean_14,274
rolling_mean_28,258
days_since_launch,232
day_of_month,227
sell_price,204
day_of_week,201
price_vs_historical_mean,195
demand_trend_7_28,182
rolling_std_7,180
demand_ratio_7_28,178
rolling_mean_7,175
lag_56,161
demand_cv_28,157
dow_sin,151
lag_7,141
lag_28,141
zero_sales_rate_28,132
lag_14,131
week_of_year,122
rolling_std_56,106
rolling_std_14,91
rolling_max_28,86
item_id_code,70
rolling_max_7,66
rolling_std_28,57
has_event,41
month_num,40
rolling_min_7,37
dow_cos,26
month_sin,24
month_cos,19
is_weekend,17
year_num,16
rolling_min_28,9
is_month_end,3
quarter,2
snap,2
is_month_start,1
store_id_code,0
state_id_code,0
dept_id_code,0
cat_id_code,0
price_change,0
price_change_pct,0
