date,sales
2011-01-31,1017
2011-02-28,7901
2011-03-31,8404
2011-04-30,8582
2011-05-31,8231
2011-06-30,8614
2011-07-31,8560
2011-08-31,8352
2011-09-30,7856
2011-10-31,8483
2011-11-30,7344
2011-12-31,8300
2012-01-31,8202
2012-02-29,7424
2012-03-31,8055
2012-04-30,8167
2012-05-31,6899
2012-06-30,8433
2012-07-31,7655
2012-08-31,6860
2012-09-30,6304
2012-10-31,6537
2012-11-30,5556
2012-12-31,5812
2013-01-31,6684
2013-02-28,8671
2013-03-31,8853
2013-04-30,9602
2013-05-31,9214
2013-06-30,9954
2013-07-31,9025
2013-08-31,9008
2013-09-30,8215
2013-10-31,9568
2013-11-30,9528
2013-12-31,10436
2014-01-31,9291
2014-02-28,8084
2014-03-31,8853
2014-04-30,8784
2014-05-31,9171
2014-06-30,8996
2014-07-31,8882
2014-08-31,9519
2014-09-30,8514
2014-10-31,8790
2014-11-30,8774
2014-12-31,8967
2015-01-31,9122
2015-02-28,9094
2015-03-31,10079
2015-04-30,9713
2015-05-31,10586
2015-06-30,9713
2015-07-31,11438
2015-08-31,11907
2015-09-30,10859
2015-10-31,11227
2015-11-30,10743
2015-12-31,11518
2016-01-31,10911
2016-02-29,10107
2016-03-31,10277
2016-04-30,10602
2016-05-31,7819
