item_id,mean,std,sum,coefficient_of_variation
HOBBIES_1_026,0.030373831775700934,0.19105824216510123,26,6.290225203589487
HOBBIES_1_302,0.04151530877010898,0.20719004085948695,80,4.990690109202892
HOBBIES_1_018,0.05928338762214984,0.2623795579235485,91,4.42585298255656
HOBBIES_1_212,0.06510416666666667,0.26705697210619633,125,4.101995091551175
HOBBIES_1_192,0.0776495278069255,0.30439292010192315,148,3.9200872007720644
HOBBIES_1_053,0.14435695538057744,0.5623794693688642,165,3.8957559605370404
HOBBIES_1_052,0.08161953727506427,0.31737905640482333,127,3.8885182028811425
HOBBIES_1_299,0.1505922165820643,0.5764332799921424,267,3.827776050284901
HOBBIES_1_274,0.08676092544987146,0.327994270070204,135,3.7804376609573143
HOBBIES_1_181,0.08106355382619974,0.30234542365567924,125,3.729733146216459
HOBBIES_1_285,0.08457069076823757,0.3153289159979546,131,3.728583899853677
HOBBIES_1_267,0.12348048624440179,0.4491906693838141,193,3.6377461981704737
HOBBIES_1_062,0.11131554737810488,0.4020330685198307,121,3.6116524419921983
HOBBIES_1_234,1.1414330218068536,4.108480274337412,1832,3.5994054805194025
HOBBIES_1_112,0.10572916666666667,0.36775800546269594,203,3.47830231767673
HOBBIES_1_136,0.08627717391304347,0.29960635732482693,127,3.4726028187570495
HOBBIES_1_174,0.09377093101138648,0.3242562841962426,140,3.457961659321358
HOBBIES_1_011,0.09578030810448761,0.3247017769097104,143,3.3900682022811024
HOBBIES_1_272,0.10461956521739131,0.3378346963996581,154,3.2291732019499784
HOBBIES_1_223,0.6570458404074703,2.0949116083989727,774,3.1883796830671702
HOBBIES_1_304,0.12725399278722307,0.4033163194015926,247,3.1693804694675762
HOBBIES_1_217,0.1103448275862069,0.3471511873063838,208,3.146057634964103
HOBBIES_1_066,0.45586808923375366,1.4325420402716846,470,3.1424486032342696
HOBBIES_1_070,0.11548913043478261,0.3616252758402038,170,3.1312494472751764
HOBBIES_1_214,0.12195121951219512,0.37878684266734997,235,3.10605210987227
HOBBIES_1_065,0.11238223418573351,0.34644142536083744,167,3.0827063358455358
HOBBIES_1_107,0.12248322147651007,0.371211565803684,146,3.0307136057396664
HOBBIES_1_082,0.1391035548686244,0.41890999955177666,270,3.011497441222217
HOBBIES_1_245,0.12547770700636943,0.37298931248411243,197,2.972554419289627
HOBBIES_1_039,0.13261888814467515,0.39411000300517096,198,2.97174865902384
HOBBIES_1_145,0.6769706336939721,2.010341893696083,1314,2.9696146237930723
HOBBIES_1_113,0.17571297148114076,0.5215775250067572,191,2.968349579488718
HOBBIES_1_162,0.16966580976863754,0.49771712043586624,264,2.9335145431750296
HOBBIES_1_210,0.2159383033419023,0.6291139740401207,336,2.9133968559715115
HOBBIES_1_138,0.14601473543201607,0.42237105816411985,218,2.892660503848766
HOBBIES_1_140,0.5848896434634975,1.6825383975852948,689,2.876676679761215
HOBBIES_1_188,0.14652956298200515,0.42022139291230703,228,2.8678266989980252
HOBBIES_1_229,0.1837248322147651,0.5221896205267449,219,2.8422375692597255
HOBBIES_1_121,0.6135021097046414,1.7434684981160138,727,2.8418296702441213
HOBBIES_1_205,0.13451086956521738,0.38085278369173337,198,2.8313903918900585
HOBBIES_1_190,0.15789473684210525,0.4460623647589834,144,2.825061643473562
HOBBIES_1_035,0.1505316172355904,0.42494120202164776,269,2.8229365353631395
HOBBIES_1_191,0.15903307888040713,0.4473857042096287,125,2.813161308070145
HOBBIES_1_263,0.18031942297784648,0.5050712933026682,350,2.800981086572797
HOBBIES_1_199,0.22078651685393258,0.6017731429812182,393,2.725588281187197
HOBBIES_1_167,0.8807482462977396,2.3925838488989517,1130,2.7165354673781903
HOBBIES_1_095,0.17159383033419023,0.45163828062712663,267,2.6320193432801835
HOBBIES_1_230,0.14845758354755784,0.39015727573301084,231,2.6280723854569907
HOBBIES_1_176,0.1886061946902655,0.4927168997886768,341,2.6124110111962686
HOBBIES_1_197,0.16208939149165322,0.41665947109082163,301,2.5705536140055005
HOBBIES_1_284,0.15552699228791775,0.39964813130170085,242,2.5696383979563904
HOBBIES_1_305,0.20498183705241307,0.5255823918820306,395,2.564043719383982
HOBBIES_1_110,0.18959299330242144,0.486005058342386,368,2.563412549572204
HOBBIES_1_102,0.1595221363316936,0.4080660668882473,227,2.558052921506502
HOBBIES_1_118,0.15879605604566685,0.40467697131949215,306,2.5484069403028147
HOBBIES_1_175,0.19338159255429163,0.4918767360092943,374,2.543555100112233
HOBBIES_1_294,0.1859883236030025,0.4707864728680097,223,2.5312689729540074
HOBBIES_1_063,0.17825862957238536,0.44739942379988745,346,2.5098331838022587
HOBBIES_1_257,0.1740053050397878,0.43526004377191074,328,2.501418239359914
HOBBIES_1_207,0.17568263781555898,0.4349974644462744,341,2.4760412858950693
HOBBIES_1_227,0.312210200927357,0.767510575580458,606,2.458313576240378
HOBBIES_1_106,0.27769191138588356,0.6816157501156163,539,2.4545754563532673
HOBBIES_1_128,0.21613236814891418,0.5283757139013316,418,2.444685719342525
HOBBIES_1_289,0.270994332818135,0.6585899420910836,526,2.430272010644093
HOBBIES_1_250,0.2143314139475368,0.5192818444857588,335,2.422798575914152
HOBBIES_1_054,0.19900990099009902,0.4722203735232692,201,2.3728486430771234
HOBBIES_1_135,0.19425837320574163,0.46068160213245746,203,2.3714890356079708
HOBBIES_1_307,0.17527173913043478,0.4145385510035004,258,2.3651191747176457
HOBBIES_1_303,0.3369397217928903,0.7967852360228859,654,2.3647708610404
HOBBIES_1_219,0.21548821548821548,0.5068367006769577,192,2.352039064079007
HOBBIES_1_255,0.5843648208469056,1.3488187781479162,897,2.308179291479433
HOBBIES_1_220,0.39000515198351365,0.8908949803163241,757,2.2843159270726354
HOBBIES_1_224,0.2509727626459144,0.5706841760981459,387,2.2738888877088916
HOBBIES_1_091,0.9548660084626234,2.1656524284982708,677,2.2680170927699765
HOBBIES_1_161,0.8310214375788146,1.8820513445251001,659,2.26474463764553
HOBBIES_1_115,0.7996702390766695,1.8099285829353684,970,2.263343681547012
HOBBIES_1_117,0.2029881504379186,0.4586076354156972,394,2.2592827927458585
HOBBIES_1_271,0.23224568138195778,0.5214323433022817,363,2.245175626946188
HOBBIES_1_290,0.24008243173621843,0.5382874652668052,466,2.2420943564010063
HOBBIES_1_131,1.1137957911145753,2.4873134913886625,1429,2.233186290728939
HOBBIES_1_111,0.49768160741885625,1.1055715430121384,966,2.2214434420150733
HOBBIES_1_269,0.32608695652173914,0.7219276343618336,165,2.213911412042956
HOBBIES_1_165,0.27238198589256646,0.6027732881044888,502,2.212970458120663
HOBBIES_1_259,0.2369912416280268,0.5241507755314897,460,2.211688381101351
HOBBIES_1_114,0.26653696498054474,0.5894669813687132,411,2.211576849806705
HOBBIES_1_092,0.22565687789799072,0.4969817600630854,438,2.202378073704221
HOBBIES_1_088,0.4559505409582689,0.9884601612285883,885,2.1679109298810055
HOBBIES_1_184,0.2326071679550246,0.5003564323138724,331,2.151079163693778
HOBBIES_1_251,0.2816651904340124,0.6046733405700018,318,2.146780507872742
HOBBIES_1_061,0.3019062339000515,0.6377646800189511,586,2.112459460608847
HOBBIES_1_051,0.2367957746478873,0.499605074535832,269,2.1098563742479746
HOBBIES_1_002,0.277623542476402,0.5855615674821133,500,2.1091927660705725
HOBBIES_1_060,0.2605932203389831,0.549230815623385,369,2.1076174388149407
HOBBIES_1_127,0.6362699639361155,1.3399504904184452,1235,2.105946479273038
HOBBIES_1_185,0.32715095311695,0.6876147119934708,635,2.1018270172902787
HOBBIES_1_218,0.28098471986417656,0.5902018272401556,331,2.1004765936220644
HOBBIES_1_239,0.44152498712004123,0.9229639296763286,857,2.0904002187885107
HOBBIES_1_243,0.25264084507042256,0.5247126987871898,287,2.076911588230828
HOBBIES_1_273,0.24626481195260175,0.5047636069593846,478,2.0496781613141537
HOBBIES_1_024,0.3300699300699301,0.6755797308335127,472,2.046777574347295
HOBBIES_1_279,0.4891304347826087,0.9914398881878901,405,2.026943771406353
HOBBIES_1_094,0.3468733297701764,0.7021278617270872,649,2.0241621406646844
HOBBIES_1_221,0.306543019062339,0.6195304605717473,595,2.0210228974281708
HOBBIES_1_077,0.31675392670157065,0.6344668618141546,484,2.003027613330637
HOBBIES_1_293,0.36999435984207557,0.7380667275557341,656,1.994805347494385
HOBBIES_1_265,0.3344549125168237,0.6599540380277884,497,1.9732227374432467
HOBBIES_1_306,0.33502109704641353,0.6601575265484688,397,1.9704953878084017
HOBBIES_1_080,3.405976300875837,6.647923894003974,6611,1.9518409133658623
HOBBIES_1_093,0.2607167955024596,0.5075201484007922,371,1.94663388456692
HOBBIES_1_045,0.3793103448275862,0.7362702071630272,253,1.9410760007025263
HOBBIES_1_003,0.3669833729216152,0.7097102436384525,309,1.9339029939921586
HOBBIES_1_104,0.2582697201017812,0.4978568679011617,203,1.9276625525631186
HOBBIES_1_020,0.3201868188894655,0.6137252966458979,617,1.9167725229119048
HOBBIES_1_083,0.2912332838038633,0.5573680534666421,392,1.9138198978727046
HOBBIES_1_119,0.8095693779904306,1.544085336706084,846,1.9072921712267823
HOBBIES_1_116,0.398716119828816,0.7519271880211763,559,1.885871051172968
HOBBIES_1_041,0.3238199780461032,0.6097083020535069,590,1.8828619090533723
HOBBIES_1_187,0.4817104585265327,0.9049123444699314,935,1.8785399578782211
HOBBIES_1_163,0.3400309119010819,0.6371568606107476,660,1.8738204037052442
HOBBIES_1_007,0.3050847457627119,0.5678073815080771,432,1.8611464171653636
HOBBIES_1_186,0.5095447870778267,0.9457240914676672,347,1.8560175973760271
HOBBIES_1_277,0.8619268418341062,1.5994516446949216,1673,1.855669840019631
HOBBIES_1_033,0.3340122199592668,0.6178156845160268,328,1.849679884740056
HOBBIES_1_156,0.7568627450980392,1.3978182656952591,579,1.8468583303227517
HOBBIES_1_143,0.4100978876867594,0.7569479143588657,796,1.8457737459429122
HOBBIES_1_022,0.3384853168469861,0.6245060509275459,657,1.8450018947494164
HOBBIES_1_193,0.4605873261205564,0.8428703201084391,894,1.8299902587589265
HOBBIES_1_013,0.34375,0.6279586666458516,506,1.8267888484242958
HOBBIES_1_278,6.911385883565172,12.582362847689378,13415,1.8205267452377998
HOBBIES_1_049,0.3486078886310905,0.6344193441232261,601,1.8198651402137134
HOBBIES_1_076,0.5919629057187017,1.0752210564682916,1149,1.816365596697088
HOBBIES_1_170,0.3092485549132948,0.5587311823325554,321,1.806738215766955
HOBBIES_1_036,0.6455435342606903,1.1630332612566832,1253,1.801634126176554
HOBBIES_1_025,0.5348027842227379,0.9609049205643865,922,1.7967462939837333
HOBBIES_1_090,3.1350844277673544,5.559963170952559,3342,1.7734652125180816
HOBBIES_1_034,0.48448810754912097,0.8586116644257059,937,1.7722037982916918
HOBBIES_1_252,1.0865139949109415,1.916777101410539,854,1.7641531635933063
HOBBIES_1_125,0.5087719298245614,0.8950935337776302,261,1.7593217732870663
HOBBIES_1_169,4.816589386913962,8.398904746396514,9349,1.7437452254525228
HOBBIES_1_146,0.5054095826893354,0.8802510183756805,981,1.741658742780016
HOBBIES_1_031,0.3502854177477945,0.6099543515852452,675,1.7413067192663225
HOBBIES_1_058,0.44307058217413703,0.7675638592360111,860,1.7323737799733694
HOBBIES_1_009,1.1782586295723854,2.0136547419242956,2287,1.7090091185286653
HOBBIES_1_027,0.46256038647342995,0.7867089485615939,383,1.7007702595535241
HOBBIES_1_038,0.3987635239567233,0.6694192869040457,774,1.6787375140578202
HOBBIES_1_232,1.8932806324110671,3.176097971576113,958,1.6775632292458384
HOBBIES_1_098,0.4564657393096342,0.7650791196103466,886,1.6760931954443372
HOBBIES_1_253,0.5476923076923077,0.9139194580841311,534,1.6686731678502393
HOBBIES_1_180,0.3475,0.5741566160680536,278,1.6522492548720966
HOBBIES_1_264,0.4565667011375388,0.7543121776170485,883,1.652140148937001
HOBBIES_1_012,0.39206594538897477,0.6472136215637176,761,1.6507774500068015
HOBBIES_1_288,4.099948480164864,6.731776086271359,7958,1.6419172384333636
HOBBIES_1_139,0.7740963855421686,1.2641845194603534,771,1.6331099628826355
HOBBIES_1_133,0.40477863668306396,0.6575577631386941,576,1.6244873210874333
HOBBIES_1_047,1.1674394641937145,1.8920046334669296,2266,1.6206447456131114
HOBBIES_1_266,0.5951396070320579,0.957988254770577,1151,1.609686607060205
HOBBIES_1_168,0.46243523316062174,0.7414979595890894,357,1.6034633747976947
HOBBIES_1_042,0.590882178804026,0.9433917034475323,998,1.5965817506241304
HOBBIES_1_069,0.4543784445805266,0.7254356340454486,742,1.596545000533986
HOBBIES_1_067,5.18650180319423,8.224507203212392,10067,1.5857523076820554
HOBBIES_1_282,0.6177228232869655,0.977148791252832,1199,1.5818563835043762
HOBBIES_1_248,2.2182926829268292,3.502971040871768,3638,1.579129331234112
HOBBIES_1_150,1.824317362184441,2.8719306538759986,3541,1.5742494773152536
HOBBIES_1_122,1.105263157894737,1.739341117112385,1155,1.5736895821493004
HOBBIES_1_202,1.2735703245749614,2.003570801731725,2472,1.5731921222335266
HOBBIES_1_073,0.41201716738197425,0.6477057307199237,768,1.5720357839348147
HOBBIES_1_281,0.5682102628285357,0.8889726861178303,908,1.5645136039827012
HOBBIES_1_075,0.5816589386913962,0.9099413876607924,1129,1.5643899321962782
HOBBIES_1_152,0.53081876724931,0.8292075980145795,577,1.562129391753636
HOBBIES_1_021,0.6875331564986737,1.0719738498712108,1296,1.559159496147556
HOBBIES_1_043,3.2880124545926313,5.123863148619853,6336,1.5583466362674332
HOBBIES_1_216,1.1117980422462648,1.7309701446490255,2158,1.5569105888617973
HOBBIES_1_183,0.6527777777777778,1.0091296255555708,705,1.5459007029787468
HOBBIES_1_238,0.4595569294178259,0.7100440014531766,892,1.5450621152697486
HOBBIES_1_246,0.70375,1.0851072572329543,563,1.5418930831018889
HOBBIES_1_006,1.1043593130779392,1.702125576898827,1672,1.5412787819526461
HOBBIES_1_137,0.598145285935085,0.9190294418371977,1161,1.536465242554695
HOBBIES_1_032,5.5620814013395155,8.54478104390135,10796,1.536256021323872
HOBBIES_1_171,0.48203221809169766,0.7350574893219911,389,1.5249136089533337
HOBBIES_1_308,0.5835734870317003,0.8862099316197372,810,1.5185918334422162
HOBBIES_1_240,0.6224310041103934,0.9419780471902506,1060,1.5133854852499968
HOBBIES_1_172,0.7279752704791345,1.0893985247740552,1413,1.4964773790420673
HOBBIES_1_142,1.6539162112932604,2.470325985399833,2724,1.49362220923404
HOBBIES_1_072,0.625945945945946,0.9340487404506085,1158,1.4922194903571897
HOBBIES_1_235,0.6326641345632121,0.9309241491646828,1166,1.471434997350352
HOBBIES_1_262,0.51,0.7504024785738731,408,1.4713774089683787
HOBBIES_1_109,0.4783783783783784,0.7006275233815852,885,1.464588608198794
HOBBIES_1_211,1.2625,1.846715109558007,1010,1.462744641234065
HOBBIES_1_283,0.49209932279909707,0.7130368861232855,218,1.4489694520762177
HOBBIES_1_296,0.5749613601236476,0.8330614023303343,1116,1.448899804590662
HOBBIES_1_001,0.6057416267942584,0.8729467152479027,633,1.4411205646667589
HOBBIES_1_292,0.5811648079306072,0.8368332908504622,469,1.4399242339367229
HOBBIES_1_203,0.5384615384615384,0.7745354919188558,525,1.4384230564207323
HOBBIES_1_301,0.8171045852653271,1.1665598662436971,1586,1.4276750948165298
HOBBIES_1_099,0.9721792890262752,1.3799928435507358,1887,1.4194838947175294
HOBBIES_1_213,0.7042761463163318,0.9943796978507349,1367,1.4119173325005678
HOBBIES_1_268,9.855229263266358,13.88187127940716,19129,1.4085792332756182
HOBBIES_1_261,5.28026790314271,7.407767387016803,10249,1.4029150647087145
HOBBIES_1_016,5.524471921689851,7.728114678655685,10723,1.3988874933573332
HOBBIES_1_120,0.5443037974683544,0.7589132803480301,645,1.3942825383138227
HOBBIES_1_298,0.8516228748068007,1.1852328902350913,1653,1.3917344464285009
HOBBIES_1_231,0.6377816291161178,0.884643908458167,1104,1.387063954294463
HOBBIES_1_233,3.2725399278722307,4.530698631760093,6352,1.3844593898372703
HOBBIES_1_028,0.7042761463163318,0.973953180563988,1367,1.3829137699156553
HOBBIES_1_226,0.7619783616692427,1.0527416349926533,1479,1.3815899347672345
HOBBIES_1_130,1.052550231839258,1.4513839602881278,2043,1.3789213249727146
HOBBIES_1_159,1.1138588356517258,1.5344560131691674,2162,1.377603663996926
HOBBIES_1_198,0.7746730083234245,1.0613543114869537,1303,1.370067499555684
HOBBIES_1_286,3.491499227202473,4.782113891013378,6777,1.369644837311047
HOBBIES_1_141,1.0200927357032457,1.397017512252437,1980,1.369500500647465
HOBBIES_1_124,1.1459016393442623,1.5651111837146348,1398,1.3658337940857328
HOBBIES_1_160,0.5195804195804196,0.7053488276630352,743,1.3575354287458148
HOBBIES_1_097,0.5672333848531684,0.769414037077494,1101,1.3564329209513315
HOBBIES_1_204,0.6950092421441775,0.9415083691469154,376,1.3546702864587266
HOBBIES_1_241,1.8980301274623406,2.5694589089802844,1638,1.3537503287240449
HOBBIES_1_173,0.6353514265831594,0.8571037531615111,913,1.349023103278304
HOBBIES_1_260,0.6567796610169492,0.8837739966821133,930,1.345617182045024
HOBBIES_1_225,0.5377622377622377,0.7065923899752368,769,1.3139494377953038
HOBBIES_1_158,2.2324380165289255,2.9032488035984176,2161,1.3004834992518595
HOBBIES_1_105,0.8330757341576507,1.083121809664388,1617,1.3001480720832264
HOBBIES_1_040,0.8146106133700896,1.056059773320247,1182,1.2963982496511663
HOBBIES_1_100,0.7145801133436372,0.9255473116927279,1387,1.2952323950941491
HOBBIES_1_209,3.361154044307058,4.321000684438494,6524,1.2855705592420474
HOBBIES_1_010,0.7166409067490984,0.9194778041506905,1391,1.283038402484896
HOBBIES_1_132,1.0329726944873776,1.3230489910654024,2005,1.2808170033206714
HOBBIES_1_149,0.8134831460674158,1.0388941034192958,1448,1.2770935801701286
HOBBIES_1_295,6.75682637815559,8.602481722073154,13115,1.2731541763281733
HOBBIES_1_079,1.0494590417310665,1.33379002891532,2037,1.270930999570268
HOBBIES_1_087,0.7624736472241743,0.9677340581413669,1085,1.2692032854701982
HOBBIES_1_005,1.032258064516129,1.3083423570689088,1888,1.2674566584105054
HOBBIES_1_030,4.088445078459344,5.180471264259872,5732,1.2671006127865212
HOBBIES_1_017,1.1865973425765453,1.5023544255115728,2054,1.2661029749564425
HOBBIES_1_103,4.128284389489954,5.226176047147851,8013,1.265943804756518
HOBBIES_1_019,6.529661016949152,8.261912022873512,9246,1.2652895765075594
HOBBIES_1_068,0.9402369912416281,1.185624262681821,1825,1.2609844897892681
HOBBIES_1_008,7.283359093250902,9.178082153132285,14137,1.2601441224609016
HOBBIES_1_157,0.7032457496136012,0.8837214982579146,1365,1.2566325480722433
HOBBIES_1_048,7.8594950603732165,9.873611810210255,14320,1.2562654132823383
HOBBIES_1_280,0.8778979907264297,1.1010917318551985,1704,1.2542365325885798
HOBBIES_1_044,0.9453889747552808,1.181518163544513,1835,1.249769349013569
HOBBIES_1_215,0.9100310237849017,1.1332224716592267,1760,1.2452569660164459
HOBBIES_1_056,1.3535864978902954,1.680282929789463,1604,1.2413561544890983
HOBBIES_1_275,0.83134223471539,1.0303148155199717,1183,1.2393389539179371
HOBBIES_1_023,1.1277691911385883,1.3959280326983226,2189,1.2377781231007055
HOBBIES_1_057,0.8622628250175686,1.0663645120907697,1227,1.2367047275510719
HOBBIES_1_287,0.9220103986135182,1.1380115006511795,1596,1.234271871946862
HOBBIES_1_151,0.7058217413704276,0.8695964860898713,1370,1.2320341456207593
HOBBIES_1_084,0.8670788253477589,1.0672506195924534,1683,1.2308576664461983
HOBBIES_1_189,6.488923235445647,7.9833916470693,12595,1.2303106936849155
HOBBIES_1_046,0.6846153846153846,0.8400808786149673,356,1.2270844294375927
HOBBIES_1_208,1.3398533007334963,1.6389630802619597,1644,1.2232406931152218
HOBBIES_1_015,6.013910355486862,7.323547124498016,11673,1.2177679232974086
HOBBIES_1_247,1.015970515970516,1.223384485002819,827,1.2041535317923757
HOBBIES_1_276,0.7506439979392066,0.8999747118447772,1457,1.1989367986895763
HOBBIES_1_195,0.729636048526863,0.8713386388380367,1263,1.1942099634431051
HOBBIES_1_270,0.807909604519774,0.9642923080825243,1144,1.1935646051091384
HOBBIES_1_297,0.9953632148377125,1.1873383273414504,1932,1.1928694065060845
HOBBIES_1_177,1.3301343570057582,1.5832935962411472,2079,1.190326065860949
HOBBIES_1_244,6.004636785162288,7.1272295577982705,11655,1.1869543176050144
