number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,97.62137974136778,2026-09-12 16:26:46.604137,2026-09-12 16:27:34.760981,0 days 00:00:48.156844,9,600,6.009974718380312,0.08927180304353628,0.31203728088487304,COMPLETE
1,95.65130984385321,2026-09-12 16:27:34.762822,2026-09-12 16:28:45.396548,0 days 00:01:10.633726,10,400,6.054365855469246,0.011430983876313222,1.416145155592091,COMPLETE
2,99.33607594161154,2026-09-12 16:28:45.400152,2026-09-12 16:29:08.767752,0 days 00:00:23.367600,9,300,1.8891200276189386,0.09330606024425668,0.36364993441420124,COMPLETE
3,96.98987336475955,2026-09-12 16:29:08.768674,2026-09-12 16:29:31.103618,0 days 00:00:22.334944,8,400,3.6473162849112093,0.02014847788415866,0.5824582803960838,COMPLETE
4,96.44571674071439,2026-09-12 16:29:31.106434,2026-09-12 16:29:57.689447,0 days 00:00:26.583013,6,800,2.9967309097101573,0.013787764619353767,0.9121399684340719,COMPLETE
5,97.67595504923831,2026-09-12 16:29:57.690068,2026-09-12 16:30:41.215992,0 days 00:00:43.525924,8,1000,5.898602410432693,0.015837031559118753,0.09290082543999545,COMPLETE
6,95.29060991084184,2026-09-12 16:30:41.216045,2026-09-12 16:31:08.643583,0 days 00:00:27.427538,5,800,17.16044502975481,0.014808945119975192,1.9312640661491187,COMPLETE
7,96.76460421927649,2026-09-12 16:31:08.644566,2026-09-12 16:31:37.033902,0 days 00:00:28.389336,5,1000,7.766184280392884,0.020165721691808594,0.8803049874792026,COMPLETE
8,96.91557819974187,2026-09-12 16:31:37.033942,2026-09-12 16:31:51.716580,0 days 00:00:14.682638,5,400,15.242391728466368,0.03127353036780371,0.5175599632000338,COMPLETE
9,97.53674647440451,2026-09-12 16:31:51.716638,2026-09-12 16:32:38.010086,0 days 00:00:46.293448,8,800,5.143828405076927,0.020497980520950188,0.3697089110510541,COMPLETE
