feature,mean_abs_shap
rolling_mean_56,0.27339965891789514
rolling_mean_28,0.23424677957889123
rolling_mean_14,0.22032451169403316
lag_1,0.17544568826399506
rolling_std_56,0.08681809643538126
sell_price,0.08089282033120414
rolling_mean_7,0.07247427198881937
zero_sales_rate_28,0.0688052936872999
dow_sin,0.06286791208324868
rolling_std_28,0.04949018503546422
day_of_week,0.03689044704308132
rolling_std_14,0.03048229940447891
demand_trend_7_28,0.025488838651036395
rolling_max_7,0.024246113776087427
rolling_std_7,0.02340709895083951
lag_14,0.017223481447878913
rolling_max_28,0.01705942658677658
day_of_month,0.01656182744342968
lag_7,0.014393852222112972
demand_ratio_7_28,0.01431449131198914
is_weekend,0.0139759902425009
lag_56,0.009598589917806802
lag_28,0.009179917576846667
rolling_min_7,0.008991052639410892
has_event,0.008327078311023695
price_vs_historical_mean,0.00658082100405235
demand_cv_28,0.006495771759318937
year_num,0.004212607059280601
days_since_launch,0.002444621299640333
item_id_code,0.0013499746182876217
week_of_year,0.0010829059760255491
snap,0.0008780141040300676
dow_cos,0.000695154536584414
month_sin,0.0006051476291646617
month_num,0.0004564515616311134
quarter,0.0004262782159679569
month_cos,0.0002935567100576157
rolling_min_28,1.624728390432643e-05
price_change_pct,1.4263712308669075e-05
price_change,3.188425123759649e-06
store_id_code,0.0
state_id_code,0.0
dept_id_code,0.0
cat_id_code,0.0
is_month_start,0.0
is_month_end,0.0
