feature,feature_value,shap_value,absolute_shap
lag_1,5.0,0.3013376990582179,0.3013376990582179
demand_ratio_7_28,3.9999776,0.2426277260822856,0.2426277260822856
rolling_mean_56,0.08928572,-0.24139407290532314,0.24139407290532314
rolling_mean_28,0.17857143,-0.19816006124304292,0.19816006124304292
rolling_mean_14,0.35714287,-0.19058357555891792,0.19058357555891792
rolling_std_56,0.6681531,-0.09213552421912573,0.09213552421912573
zero_sales_rate_28,0.96428573,-0.08287687896962828,0.08287687896962828
sell_price,1.0,-0.0812999759190808,0.0812999759190808
dow_sin,0.7818315,-0.06147020545366754,0.06147020545366754
rolling_std_7,1.8898224,0.03195447293769378,0.03195447293769378
rolling_mean_7,0.71428573,-0.030880811451315902,0.030880811451315902
day_of_week,1.0,-0.02849587389203618,0.02849587389203618
rolling_std_14,1.3363062,0.02817526424020114,0.02817526424020114
rolling_max_7,5.0,0.02617465965378412,0.02617465965378412
demand_trend_7_28,0.53571427,-0.02238826086848748,0.02238826086848748
rolling_std_28,0.9449112,-0.010729703988266821,0.010729703988266821
lag_7,0.0,-0.008882710717503243,0.008882710717503243
lag_14,0.0,-0.008584106371959941,0.008584106371959941
is_weekend,0.0,-0.008328059845139112,0.008328059845139112
lag_28,0.0,-0.0071170715849103346,0.0071170715849103346
demand_cv_28,5.291473,-0.006686453298750656,0.006686453298750656
day_of_month,4.0,0.0063973229073874625,0.0063973229073874625
lag_56,0.0,-0.00489252291990801,0.00489252291990801
has_event,0.0,0.004621905052837433,0.004621905052837433
rolling_max_28,5.0,0.004478383027764795,0.004478383027764795
month_sin,-2.4492937e-16,-0.003803945298890771,0.003803945298890771
rolling_min_7,0.0,-0.003644883143113903,0.003644883143113903
price_vs_historical_mean,1.034202,-0.0036395059134496097,0.0036395059134496097
year_num,2012.0,0.0019622224487826963,0.0019622224487826963
snap,1.0,0.0018902870326617874,0.0018902870326617874
month_cos,1.0,0.001204056696248733,0.001204056696248733
week_of_year,49.0,0.0010529339621664791,0.0010529339621664791
item_id_code,137.0,0.000439473421938826,0.000439473421938826
quarter,4.0,0.00042526918835056327,0.00042526918835056327
month_num,12.0,-0.0002750836334535435,0.0002750836334535435
dow_cos,0.6234898,0.00019147017265214538,0.00019147017265214538
days_since_launch,381.0,4.6162809512936985e-05,4.6162809512936985e-05
price_change,0.0,5.61916604267735e-06,5.61916604267735e-06
rolling_min_28,0.0,-3.402674243527533e-06,3.402674243527533e-06
price_change_pct,0.0,-1.5776503629809246e-06,1.5776503629809246e-06
store_id_code,0.0,0.0,0.0
state_id_code,0.0,0.0,0.0
dept_id_code,0.0,0.0,0.0
cat_id_code,0.0,0.0,0.0
is_month_start,0.0,0.0,0.0
is_month_end,0.0,0.0,0.0
