feature,importance
rolling_mean_28,0.46921062
rolling_mean_56,0.10430706
rolling_mean_14,0.019352535
rolling_min_7,0.016644297
lag_1,0.016061276
lag_7,0.014513238
lag_56,0.01389584
lag_28,0.013808636
quarter,0.013727712
rolling_min_28,0.013477682
days_since_launch,0.013032927
rolling_max_28,0.012962802
rolling_mean_7,0.012936431
has_event,0.012910717
is_month_end,0.0128458
demand_cv_28,0.012656907
dow_sin,0.012440732
rolling_max_7,0.01224436
lag_14,0.012217033
zero_sales_rate_28,0.011815335
day_of_month,0.011579871
month_sin,0.01098486
rolling_std_7,0.010619498
demand_ratio_7_28,0.0105390055
day_of_week,0.009622714
demand_trend_7_28,0.009577048
sell_price,0.009408499
dow_cos,0.009172133
is_month_start,0.009137481
week_of_year,0.009093607
price_vs_historical_mean,0.008720732
month_num,0.008497619
item_id_code,0.008487125
rolling_std_28,0.008435588
month_cos,0.007842665
rolling_std_14,0.007438199
rolling_std_56,0.0071982434
snap,0.0063175475
year_num,0.0060759415
is_weekend,0.00570939
price_change,0.002828395
price_change_pct,0.0016519544
dept_id_code,0.0
cat_id_code,0.0
store_id_code,0.0
state_id_code,0.0
